楷書編號	釋義	部首	字體編號
16	《說文》：“力，筋也。象人筋之形。治功曰力，能圉大災。”	說文‧力部	&27.529B;
13	《說文》：“几，踞几也。象形。”	說文‧几部	&27.51E0;
19920	《說文》：“五，五行也。从二。陰陽在天地間交午也。㐅，古文五省。”	說文‧五部	&27.4E94;
4	《說文》：“七，陽之正也。从一，微陰从中衺出也。”	說文‧七部	&27.4E03;
6	《說文》：“九，陽之變也。象其屈曲究盡之形。”	說文‧九部	&27.4E5D;
3	《說文》：“丁，夏時萬物皆丁實。象形。丁承丙，象人心。”	說文‧丁部	&27.4E01;
7	《說文》：“了，尦也。从子無臂，象形。”	說文‧了部	&27.4E86;
24	《說文》：“丄，高也。此古文上，指事也。上，篆文丄。”	說文古文	&27.F3F2;
24	《說文》：“丄，高也。此古文上，指事也。上，篆文丄。”	說文古文	&27.F3F2;
22	《說文》：“丅，底也。指事。下，篆文丅。”	說文古文	&27.F407;
22	《說文》：“丅，底也。指事。下，篆文丅。”	說文古文	&27.F407;
21	《說文》：“三，天地人之道也。从三數。弎，古文三从弋。”	說文‧三部	&27.4E09;
41	《說文》：“士，事也。數始於一，終於十。从一，从十。孔子曰：‘推十合一為士。’”	說文‧士部	&27.58EB;
5413	《說文》：“屮，艸木初生也。象丨出形，有枝莖也。古文或以為艸字。讀若徹。”	說文‧屮部	&27.5C6E;
49	《說文》：“小，物之微也。从八，丨見而分之。”	說文‧小部	&27.5C0F;
39	《說文》：“口，人所以言食也。象形。”	說文‧口部	&27.53E3;
19900	《說文》：“𣥂，蹈也。从反止。讀若撻。”	說文‧止部	&27.F553;
5414	《說文》：“彳，小步也。象人脛三屬相連也。”	說文‧彳部	&27.5F73;
5410	《說文》：“亍，步止也。从反彳。”	說文‧彳部	&27.4E8D;
22638	《說文》：“廴，長行也。从彳引之。”	說文‧廴部	&27.F54C;
59	《說文》：“干，犯也。从反入，从一。”	說文‧干部	&27.5E72;
23	《說文》：“丈，十尺也。从又持十。”	說文‧十部	&27.4E08;
37	《說文》：“千，十百也。从十，从人。”	說文‧十部	&27.5343;
60	《說文》：“廾，竦手也。从𠂇，從又。𢪒，楊雄說廾从兩手。”	說文‧廾部	&27.5EFE;
60	《說文》：“廾，竦手也。从𠂇，從又。𢪒，楊雄說廾从兩手。”	說文‧廾部	&27.5EFE;
38	《說文》：“叉，手指相錯也。从又，象叉之形。”	說文‧又部	&27.53C9;
19787	《說文》：“𠂇，𠂇手也。象形”	說文‧𠂇部	&27.F4F9;
48	《說文》：“寸，十分也。人手卻一寸動𧖴，謂之寸口。从又，从一。”	說文‧寸部	&27.5BF8;
28577	《說文》：“幺，小也。象子初生之形。”	說文‧幺部	&27.F4DE;
35	《說文》：“刃，刀堅也。象刀有刃之形。”	說文‧刃部	&27.5203;
5408	《說文》：“丌，下基也，薦物之丌。象形。讀若箕同。”	說文‧丌部	&27.4E0C;
54	《說文》：“工，巧飾也。象人有規榘也。與巫同意。𢀚，古文工从彡。”	說文‧工部	&27.5DE5;
54	《說文》：“工，巧飾也。象人有規榘也。與巫同意。𢀚，古文工从彡。”	說文‧工部	&27.5DE5;
32	《說文》：“于，於也。象气之舒于。从丂，从一。一者，其气平之也。”	說文‧于部	&27.4E8E;
20493	《說文》：“亼，三合也。从入、一，象三合之形。讀若集。”	說文‧亼部	&27.F4D7;
20458	《說文》：“冂，邑外謂之郊，郊外謂之野，野外謂之林，林外謂之冂，象遠界也。冋，古文冂。从囗，象國邑。坰，冋或从土。”	說文‧冂部	&27.F4E0;
26670	《說文》：“夊，行遲曳夊夊，象人兩脛有所躧也。”	說文‧夊部	&27.F46E;
26669	《說文》：“夂，从後至也。象人兩脛後有致之者。讀若黹。”	說文‧夂部	&27.F4DF;
19794	《說文》：“𡕒，跨步也。从反夂。𩰫从此。”	說文‧夂部	&27.F337;
28	《說文》：“久，以後灸之，象人兩脛後有距也。”	說文‧久部	&27.4E45;
63	《說文》：“才，艸木之初也。从丨上貫一，將生枝葉。一，地也。”	說文‧才部	&27.624D;
5409	《說文》：“乇，艸葉也。从垂穗，上貫一，下有根，象形。”	說文‧乇部	&27.4E47;
5411	《說文》：“囗，回也。象回帀之形。”	說文‧囗部	&27.56D7;
42	《說文》：“夕，莫也。从月半見。”	說文‧夕部	&27.5915;
27023	《說文》：“宀，交覆深屋也。象形。”	說文‧宀部	&27.F4D3;
20459	《說文》：“𠔼，重覆也。从冂、一。讀若艸苺苺。”	說文‧𠔼部	&27.F3AA;
58	《說文》：“巾，佩巾也。从冂，丨象系也。”	說文‧巾部	&27.5DFE;
51	《說文》：“尸，陳也。象卧之形。”	說文‧尸部	&27.5C38;
34	《說文》：“兀，高而上平也。从一在人上。”	說文‧儿部	&27.5140;
26535	《說文》：“彡，毛飾畫文也。象形。”	說文‧彡部	&27.F50B;
21830	《說文》：“卪，瑞信也。守國者用玉卪，守都鄙者用角卪，使山邦者用虎卪，土邦者用人卪，澤邦者用龍卪，門關者用符卪，貨賄用璽卪，道路用旌卪。象相合之形。”	說文‧卩部	&27.F4F4;
19793	《說文》：“㔿，卪也。闕。”	說文‧卩部	&27.F298;
52	《說文》：“山，宣也。宣气𢿱，生萬物，有石而高。象形。”	說文‧山部	&27.5C71;
26720	《說文》：“广，因广為屋，象對刺高屋之形。”	說文‧广部	&27.F4EA;
26	《說文》：“丸，圜，傾側而轉者。从反仄。”	說文‧丸部	&27.4E38;
27348	《說文》：“彑，豕之頭，象其銳而上見也。讀若罽。”	說文‧彑部	&27.F58A;
155	《說文》：“犬，狗之有縣蹏者也。象形。孔子曰：‘視犬之字如畫狗也。’”	說文‧犬部	&27.72AC;
43	《說文》：“大，天大、地大、人亦大，故大象人形。”	說文‧大部	&27.5927;
50	《說文》：“𡯁，㝿，曲脛也。从大，象偏曲之形。𡯪，古文从𡉚。”	說文‧尢部	&27.5C22;
126	《說文》：“心，人心。土藏，在身之中。象形。博士說以為火藏。”	說文‧心部	&27.5FC3;
147	《說文》：“水，準也。北方之行。象眾水並流，中有微陽之气也。”	說文‧水部	&27.6C34;
53	《說文》：“川，貫穿通流水也。《虞書》曰：‘濬𡿨巜距川’，言深𡿨巜之水會為川也。”	說文‧川部	&27.5DDD;
20013	《說文》：“卂，疾飛也。从飛而羽不見。”	說文‧卂部	&27.F619;
129	《說文》：“手，拳也。象形。𠂿，古文手。”	說文‧手部	&27.624B;
129	《說文》：“手，拳也。象形。𠂿，古文手。”	說文‧手部	&27.624B;
44	《說文》：“女，婦人也。象形。王育說。”	說文‧女部	&27.5973;
61	《說文》：“弋，橜也，象折木衺銳著形。从𠂆，象物挂之也。”	說文‧𠂆部	&27.5F0B;
30	《說文》：“也，女陰也。象形。𠃟，秦刻石也字。”	說文‧𠂆部	&27.4E5F;
33	《說文》：“亡，逃也。从入，从𠃊。”	說文‧亡部	&27.4EA1;
62	《說文》：“弓，以近窮遠。象形。”	說文‧弓部	&27.5F13;
27	《說文》：“凡，最括也。从二。二，偶也。从ㄋ。ㄋ，古文及。”	說文‧二部	&27.51E1;
40	《說文》：“土，地之吐生物者也。二象地之下、地之中物出形也。”	說文‧土部	&27.571F;
36	《說文》：“勺，挹取也。象形。中有實，與包同意。”	說文‧勺部	&27.52FA;
1095	《說文》：“𨸏，大陸，山無石者。”	說文‧阜部	&27.961C;
1095	《說文》：“𨸏，大陸，山無石者。”	說文‧阜部	&27.961C;
55	《說文》：“己，中宮也，象萬物辟藏詘形也。己承戊，象人腹，𢀒，古文己。”	說文‧己部	&27.5DF1;
55	《說文》：“己，中宮也，象萬物辟藏詘形也。己承戊，象人腹，𢀒，古文己。”	說文‧己部	&27.5DF1;
45	《說文》：“子，十一月陽气動，萬物滋，人以為偁。象形。㜽，古文子，从巛，象髮也。𢀈，籀文子，囟有髮，臂、脛在几上也。”	說文‧子部	&27.5B50;
45	《說文》：“子，十一月陽气動，萬物滋，人以為偁。象形。㜽，古文子，从巛，象髮也。𢀈，籀文子，囟有髮，臂、脛在几上也。”	說文‧子部	&27.5B50;
45	《說文》：“子，十一月陽气動，萬物滋，人以為偁。象形。㜽，古文子，从巛，象髮也。𢀈，籀文子，囟有髮，臂、脛在几上也。”	說文‧子部	&27.5B50;
46	《說文》：“孑，無右臂也。从了，。象形。”	說文‧了部	&27.5B51;
47	《說文》：“孓，無左臂也。从了，。象形。”	說文‧了部	&27.5B53;
22440	《說文》：“𠫓，不順忽出也。从到子。《易》曰：‘突如其來如。’不孝子突出，不容於內也。𡿮，或从到古文子，即《易》突字。”	說文‧𠫓部	&27.F518;
57	《說文》：“巳，巳也，四月陽气巳出，陰气巳藏，萬物見，成文章，故巳為蛇。象形。”	說文‧巳部	&27.5DF3;
23801	《說文》：“一，惟初太始，道立於一，造分天地，化成萬物。弌，古文一。”	說文‧一部	&27.4E00;
87	《說文》：“元，始也。从一，从兀。”	說文‧一部	&27.5143;
112	《說文》：“天，顛也。至高无上，从一、大。”	說文‧一部	&27.5929;
280	《說文》：“示，天垂象，見吉凶，所以示人也。从二；三垂，日、月、星也。觀乎天文以察時變，示，神事也。𥘅，古文示。”	說文‧示部	&27.793A;
280	《說文》：“示，天垂象，見吉凶，所以示人也。从二；三垂，日、月、星也。觀乎天文以察時變，示，神事也。𥘅，古文示。”	說文‧示部	&27.793A;
156	《說文》：“王，天下所歸往也。董仲舒曰：‘古之造文者，三畫而連其中謂之王。三者，天、地、人也；而參通之者，王也。’孔子曰：‘一貫三為王。’𠙺，古文王。”	說文‧王部	&27.738B;
156	《說文》：“王，天下所歸往也。董仲舒曰：‘古之造文者，三畫而連其中謂之王。三者，天、地、人也；而參通之者，王也。’孔子曰：‘一貫三為王。’𠙺，古文王。”	說文‧王部	&27.738B;
5435	《說文》：“气，雲气也。象形。”	說文‧气部	&27.6C14;
67	《說文》：“中，內也。从口、丨，上下通。𠁧，古文中。𠁩，籀文中。”	說文‧丨部	&27.4E2D;
67	《說文》：“中，內也。从口、丨，上下通。𠁧，古文中。𠁩，籀文中。”	說文‧丨部	&27.4E2D;
67	《說文》：“中，內也。从口、丨，上下通。𠁧，古文中。𠁩，籀文中。”	說文‧丨部	&27.4E2D;
120	《說文》：“屯，難也。象艸木之初生，屯然而難。从中貫一，一，地也。尾曲。《易》曰：‘屯，剛柔始交而難生’。”	說文‧屮部	&27.5C6F;
5569	《說文》：“艸，百芔也。从二屮。”	說文‧艸部	&27.8278;
117	《說文》：“少，不多也。从小，丿聲。”	說文‧小部	&27.5C11;
5430	《說文》：“尐，少也。从小，乀聲。”	說文‧小部	&27.5C10;
95	《說文》：“分，別也。从八，从刀，刀以分別物也。”	說文‧八部	&27.5206;
85	《說文》：“介，畫也。从八，从人。人各有介。”	說文‧八部	&27.4ECB;
21251	《說文》：“𠔁，分也。从重八。八，別也，亦聲。《孝經說》曰：‘故上下有別’。”	說文‧八部	&27.EDF2;
92	《說文》：“公，平分也。从八、从厶。八，猶背也。韓非曰：‘背厶為公’。”	說文‧八部	&27.516C;
154	《說文》：“牛，大牲也，牛件也。件，事理也。象角頭三，封尾之形。”	說文‧牛部	&27.725B;
141	《說文》：“止，下基也。象艸木出有址，故以止為足。”	說文‧止部	&27.6B62;
19900	《說文》：“𣥂，蹈也。从反止。讀若撻。”	說文‧止部	&27.F553;
50635	《說文》：“辵，乍行乍止也。从彳，从止。讀若《春秋公羊傳》曰：‘辵階而走’。”	說文‧辵部	&27.F471;
153	《說文》：“牙，牡齒也。象上下相錯之形。𤘈，古文牙。”	說文‧牙部	&27.7259;
153	《說文》：“牙，牡齒也。象上下相錯之形。𤘈，古文牙。”	說文‧牙部	&27.7259;
20084	《說文》：“㔹，材十人也。从十，力聲。”	說文‧十部	&27.E0C8;
123	《說文》：“廿，二十并也。古文省。”	說文‧十部	&27.5EFF;
105	《說文》：“𠦃，三十并也。古文省。”	說文‧卅部	&27.5345;
60	《說文》：“廾，竦手也。从𠂇，從又。𢪒，楊雄說廾从兩手。”	說文‧廾部	&27.5EFE;
60	《說文》：“廾，竦手也。从𠂇，從又。𢪒，楊雄說廾从兩手。”	說文‧廾部	&27.5EFE;
22522	《說文》：“𠬜，引也。从反廾。𢸅，𠬜或从手从樊。”	說文‧𠬜部	&27.F399;
149	《說文》：“爪，𠃨也。覆手曰爪，象形。”	說文‧爪部	&27.722A;
34704	《說文》：“𤓯，亦𠃨也。从反爪。闕。”	說文‧爪部	&27.F31F;
5418	《說文》：“丮，持也。象手有所𠃨據也。”	說文‧丮部	&27.4E2E;
22443	《說文》：“厷，臂上也。从又，从古文。厶，古文厷，象形。肱，厷或从肉。”	說文‧又部	&27.F600;
22515	《說文》：“㕚，手足甲也。从又，象㕚形。”	說文‧又部	&27.F68C;
150	《說文》：“父，矩也，家長率教者。从又舉杖。”	說文‧又部	&27.7236;
5429	《說文》：“夬，分決也。从又；，象決形。”	說文‧又部	&27.592C;
71	《說文》：“尹，治也。从又、丿，握事者也。𦥱，古文尹。”	說文‧又部	&27.5C39;
71	《說文》：“尹，治也。从又、丿，握事者也。𦥱，古文尹。”	說文‧又部	&27.5C39;
109	《說文》：“及，逮也。从又，从人。乁，古文及，《秦刻石》及如此。𢎜，亦古文及。𨕤，亦古文及。”	說文‧又部	&27.53CA;
109	《說文》：“及，逮也。从又，从人。乁，古文及，《秦刻石》及如此。𢎜，亦古文及。𨕤，亦古文及。”	說文‧又部	&27.53CA;
109	《說文》：“及，逮也。从又，从人。乁，古文及，《秦刻石》及如此。𢎜，亦古文及。𨕤，亦古文及。”	說文‧又部	&27.53CA;
110	《說文》：“反，覆也。从又、厂。反形。𠬡，古文。”	說文‧又部	&27.53CD;
110	《說文》：“反，覆也。从又、厂。反形。𠬡，古文。”	說文‧又部	&27.53CD;
22513	《說文》：“𠬝，治也。从又，从卪。卪，事之節也。”	說文‧又部	&27.F539;
22518	《說文》：“𠬸，入水有所取也。从又在囘下。囘，古文回。回，淵水也。”	說文‧又部	&27.F519;
108	《說文》：“友，同志為友。从二又，相交友也。𠬺，古文友。𦐮。亦古文友。”	說文‧又部	&27.53CB;
108	《說文》：“友，同志為友。从二又，相交友也。𠬺，古文友。𦐮。亦古文友。”	說文‧又部	&27.53CB;
131	《說文》：“支，去竹之枝也。从手持半竹。𠦙，古文支。”	說文‧支部	&27.652F;
131	《說文》：“支，去竹之枝也。从手持半竹。𠦙，古文支。”	說文‧支部	&27.652F;
5433	《說文》：“殳，以杸殊人也。《禮》：‘殳以積竹，八觚，長丈二尺，建於兵車，車旅賁以先驅。’从又，几聲。”	說文‧殳部	&27.6BB3;
31257	《說文》：“攴，小擊也。从又，卜聲。”	說文‧攴部	&27.F654;
151	《說文》：“爻，交也。象《易》六爻頭交也。”	說文‧爻部	&27.723B;
72	《說文》：“予，推予也。象相予之形。”	說文‧予部	&27.4E88;
122	《說文》：“幻，相詐惑也。从反予。《周書》曰：‘無或譸張為幻。’”	說文‧予部	&27.5E7B;
142	《說文》：“歹，𠛱骨之殘也。从半冎。讀若櫱岸之櫱。𡰮，古文歺。”	說文‧歹部	&27.6B79;
142	《說文》：“歹，𠛱骨之殘也。从半冎。讀若櫱岸之櫱。𡰮，古文歺。”	說文‧歹部	&27.6B79;
432	《說文》：“肉，胾肉。象形。”	說文‧肉部	&27.8089;
96	《說文》：“切，刌也。从刀，七聲。”	說文‧刀部	&27.5207;
21862	《說文》：“剝，裂也。从刀，从彔。彔，刻割也。彔亦聲。𠚩，剝或从卜。”	說文‧刀部	&27.525D;
21863	《說文》：“刅，傷也。从刃，从一。創，或从刀，倉聲。”	說文‧刃部	&27.F11E;
19901	《說文》：“丯，艸蔡也。象艸生之散亂也。”	說文‧丯部	&27.F48B;
75	《說文》：“䇘，可以收繩也。从竹，象形，中象人手所推握也。互，䇘或省。”	說文‧竹部	&27.F0FA;
228	《說文》：“巨，規巨也。从工，象手持之。榘，巨或从木、矢，矢者，其中正也。𢀑，古文巨。”	說文‧工部	&27.5DE8;
228	《說文》：“巨，規巨也。从工，象手持之。榘，巨或从木、矢，矢者，其中正也。𢀑，古文巨。”	說文‧工部	&27.5DE8;
137	《說文》：“曰，詞也。从口，乙聲，亦象口气出也。”	說文‧曰部	&27.66F0;
91	《說文》：“兮，語所稽也。从丂、八，象气越亏也。”	說文‧兮部	&27.516E;
69	《說文》：“丹，巴越之赤石也。象采丹井，一象丹形。𠁿，古文丹。㣋，亦古文丹。”	說文‧丹部	&27.4E39;
69	《說文》：“丹，巴越之赤石也。象采丹井，一象丹形。𠁿，古文丹。㣋，亦古文丹。”	說文‧丹部	&27.4E39;
74	《說文》：“井，八家一井。象構韓形。‧，𦉥之象也。古者伯益初作井。”	說文‧井部	&27.4E95;
84	《說文》：“今，是時也。从亼，从乁。乁，古文及。”	說文‧亼部	&27.4ECA;
89	《說文》：“內，入也。从口，自外而入也。”	說文‧入部	&27.5167;
20503	《說文》：“𠓜，二入也。兩从此。闕。”	說文‧入部	&27.E492;
5423	《說文》：“冘，淫淫，行貌。从人出冂。”	說文‧冂部	&27.5198;
5428	《說文》：“夃，秦以市買多得為夃。从𠄎，从夂，益至也。从乃。《詩》曰：‘我夃酌彼金罍。’”	說文‧夂部	&27.5903;
139	《說文》：“木，冒也，冒地而生。東方之行。从屮，下象其根。”	說文‧木部	&27.6728;
30005	《說文》：“𣡌，伐木餘也，从木獻聲。《商書》曰：‘若顛木之有甹𣡌。’櫱，𣡌或从木辥聲。𣎴，古文𣡌，从木無頭。㮆，亦古文𣡌。”	說文‧木部	&27.EDF7;
30005	《說文》：“𣡌，伐木餘也，从木獻聲。《商書》曰：‘若顛木之有甹𣡌。’櫱，𣡌或从木辥聲。𣎴，古文𣡌，从木無頭。㮆，亦古文𣡌。”	說文‧木部	&27.EDF7;
70	《說文》：“之，出也。象艸過屮，枝莖益大有所之。一者，地也。”	說文‧之部	&27.4E4B;
25168	《說文》：“帀，周也。从反之而帀也。”	說文‧帀部	&27.F54F;
68	《說文》：“丰，艸盛丰丰也。从生，上下達也。”	說文‧生部	&27.4E30;
136	《說文》：“日，實也，太陽之精不虧。从囗、一，象形。，古文，象形。”	說文‧日部	&27.65E5;
138	《說文》：“月，闕也，大陰之精，象形。”	說文‧月部	&27.6708;
5434	《說文》：“毌，穿物持之也。从一橫貫，象寶貨之形。讀若冠。”	說文‧毌部	&27.6BCC;
20032	《說文》：“𢎙，艸木𢎘盛也。从二𢎘。”	說文‧𢎘部	&27.E5C1;
152	《說文》：“片，判木也。从半木。”	說文‧片部	&27.7247;
94	《說文》：“凶，惡也。象地穿交陷其中也。”	說文‧凶部	&27.51F6;
29043	《說文》：“𣎵，分枲莖皮也。从屮，八象枲之皮莖也。讀若髕。”	說文‧𣎳部	&27.F3A8;
22514	《說文》：“宄，姦也。外為盗，內為宄。从宀，九聲。”	說文‧宀部	&27.5B84;
20460	《說文》：“冃，小兒、蠻夷頭衣也。从冂，二其飾也。”	說文‧冃部	&27.F394;
5431	《說文》：“巿，韠也。上古衣蔽前而已，巿以象之。天子朱巿，朱矦赤巿，大夫葱衡。从巾，象連帶之形。韍，篆文巿从韋，从犮。”	說文‧巿部	&27.5DFF;
78	《說文》：“仁，親也。从人，从二。忎，古文仁从千、心。𡰥，古文仁或从尸。”	說文‧人部	&27.4EC1;
83	《說文》：“仍，因也。从人，乃聲。”	說文‧人部	&27.4ECD;
79	《說文》：“什，相什保也。从人、十。”	說文‧人部	&27.4EC0;
81	《說文》：“仆，頓也。从人，卜聲。”	說文‧人部	&27.4EC6;
82	《說文》：“仇，讎也。从人，九聲。”	說文‧人部	&27.4EC7;
124	《說文》：“弔，問終也。古之葬者，厚衣之以薪，从人持弓，會敺禽。”	說文‧人部	&27.5F14;
101	《說文》：“化，教行也。从𠤎，从人，𠤎亦聲。”	說文‧𠤎部	&27.5316;
21388	《說文》：“𠤏，相次也。从匕，从十。鴇从此。”	說文‧匕部	&27.F48C;
5425	《說文》：“卬，望欲有所庶及也。从匕，从卪。”	說文‧匕部	&27.536C;
20505	《說文》：“从，相聽也。从二人。”	說文‧从部	&27.F121;
144	《說文》：“比，密也。二人為从，反从為比。夶，古文比。”	說文‧比部	&27.6BD4;
144	《說文》：“比，密也。二人為从，反从為比。夶，古文比。”	說文‧比部	&27.6BD4;
22693	《說文》：“𡈼，善也。从人士；士，事也。一曰象物出地挺生也。”	說文‧𡈼部	&27.F534;
145	《說文》：“毛，眉髮之屬及獸毛也。象形。”	說文‧毛部	&27.6BDB;
119	《說文》：“尺，十寸也。人手卻十分動脈為寸口。十寸為尺。尺，所以指尺䂓榘事也。从尸，从乙，乙所識也。周制寸、尺、咫、尋、常、仞諸度量，皆以人之體為法。”	說文‧尺部	&27.5C3A;
135	《說文》：“方，併船也。象兩舟省緫頭形。汸，方或从水。”	說文‧方部	&27.65B9;
88	《說文》：“允，信也。从儿，㠯聲。”	說文‧儿部	&27.5141;
21417	《說文》：“兂，首筓也。从人、匕，象簪形。簪，俗兂。从竹，从朁。”	說文‧兂部	&27.F3FE;
140	《說文》：“欠，張口气悟也。象气从人上出之形。”	說文‧欠部	&27.6B20;
5432	《說文》：“㒫，㱃食气屰不得息曰㒫。从反欠。●，古文㒫。”	說文‧旡部	&27.65E1;
5415	《說文》：“丏，不見也。象壅蔽之形。”	說文‧丏部	&27.4E0F;
132	《說文》：“文，錯畫也。象交文。”	說文‧文部	&27.6587;
107	《說文》：“厄，科厄，木節也。从卪，厂聲。賈侍中說以為厄，裹也。一曰：厄，蓋也。”	說文‧卩部	&27.5384;
21834	《說文》：“𠨎，二卪也。巽从此。闕。”	說文‧卩部	&27.F07A;
